,venue,innings,batting_team,bowling_team,batsmen,bowlers,ttr_inn
0,0,1,0,1,7.869637595354257,6.982495379712968,61
1,0,1,0,1,5.1874925189804255,9.007313692841915,50
2,0,1,0,1,10.28446853973327,11.068011533195527,63
3,0,1,0,1,5.134311010340543,6.965164622081053,48
4,0,2,1,0,15.950851813923116,7.7477101565920705,26
5,0,2,1,0,14.850184192690538,7.395971151740251,39
6,0,2,1,0,7.082889875554283,7.451047844826263,17
7,1,1,2,3,8.090668868373356,7.563358184026433,53
8,1,1,2,3,10.829707941821685,9.792956325402749,74
9,1,1,2,3,10.593164137240663,9.738375784978057,73
10,1,1,2,3,5.383815365980432,5.010689967914242,40
11,1,2,3,2,5.201653801167467,4.950204155165324,63
12,1,2,3,2,8.034206757733777,7.306836607970668,65
13,1,2,3,2,10.6667360113579,12.257040763135992,64
14,1,2,3,2,5.257841704585794,4.817578589890734,15
15,2,1,4,5,10.110211309342487,6.947460729654429,40
16,2,1,4,5,12.593955546022887,7.56915785583452,31
17,2,1,4,5,12.319958276702149,9.659062967273918,40
18,2,1,4,5,4.651762447380111,7.379999851721351,18
19,2,2,5,4,8.170253498935143,7.772546938570946,55
20,2,2,5,4,5.454250155300344,12.354952799344534,46
21,2,2,5,4,5.454250155300344,9.78910498067102,31
22,3,1,6,0,10.63011902111118,7.7477101565920705,39
23,3,1,6,0,12.987286039637619,4.545752318433979,20
24,3,1,6,0,9.86002853969283,9.583408835509367,46
25,3,1,6,0,4.776337909620175,2.5634810853944106,5
26,3,2,0,6,13.249810834636069,7.3181769883189425,26
27,3,2,0,6,5.3624805897883965,7.0800049002011525,36
28,3,2,0,6,10.402370387524575,10.006024579549225,37
29,3,2,0,6,5.3035848038124636,2.595496221825574,13
30,4,1,7,1,12.539316984683394,7.821013074415902,47
31,4,1,7,1,5.194258962707206,9.562129553307717,47
32,4,1,7,1,10.370248874559476,12.177026769340856,55
33,4,1,7,1,7.831128346663653,5.226620524040476,16
34,4,2,1,7,7.6362521900334945,7.557135883841271,40
