venue,innings,batting_team,bowling_team,batsmen,bowlers,ttr_inn
0,1,0,1,7.869637595,6.98249538,61
0,1,0,1,5.187492519,9.007313693,50
0,2,1,0,15.95085181,7.747710157,26
0,2,1,0,14.85018419,7.395971152,39
1,1,2,3,8.090668868,7.563358184,53
1,1,2,3,10.82970794,9.792956325,74
1,2,3,2,5.201653801,4.950204155,63
1,2,3,2,8.034206758,7.306836608,65
2,1,4,5,10.11021131,6.94746073,40
2,1,4,5,12.59395555,7.569157856,31
2,2,5,4,8.170253499,7.772546939,55
2,2,5,4,5.454250155,12.3549528,46
3,1,6,0,10.63011902,7.747710157,39
3,1,6,0,12.98728604,4.545752318,20
3,2,0,6,13.24981083,7.318176988,26
3,2,0,6,5.36248059,7.0800049,36
4,1,7,1,12.53931698,7.821013074,47
4,1,7,1,5.194258963,9.562129553,47
4,2,1,7,7.63625219,7.557135884,40
4,2,1,7,10.81873269,10.00732157,54
5,1,3,4,7.89538075,7.772546939,54
5,1,3,4,13.40634149,12.2327665,44
5,2,4,3,12.71726735,7.563358184,53
5,2,4,3,7.614043136,9.809989665,50
6,1,6,5,10.63011902,4.75185624,25
6,1,6,5,10.50100824,7.307804727,35
6,2,5,6,8.170253499,4.993894533,48
6,2,5,6,5.445977629,9.643474738,64
7,1,2,7,10.82145114,7.557135884,53
7,1,2,7,5.405643416,9.77372757,58
7,2,7,2,10.22385121,4.950204155,52
7,2,7,2,10.58943051,9.86434381,53
6,1,6,4,10.39948367,7.751752273,58
6,1,6,4,7.98593637,9.623172095,50
6,2,4,6,7.874788788,7.589390755,73
6,2,4,6,8.092272733,12.0458802,54
1,1,3,7,7.945846641,7.557135884,60
1,1,3,7,10.41174692,10.19841708,50
1,2,7,3,10.38375027,10.16525454,39
1,2,7,3,10.62231173,7.637848155,52
7,1,0,2,13.24981083,7.251234151,61
7,1,0,2,10.40237039,7.306836608,18
7,2,2,0,5.391698864,7.747710157,45
7,2,2,0,8.116793385,9.541584875,45
0,1,1,4,10.34721531,7.509305504,57
0,1,1,4,15.32679218,10.05101964,21
0,2,4,1,10.48672441,7.839404381,45
0,2,4,1,5.372941446,9.790318481,39
8,1,7,6,12.94730688,9.274394281,27
8,1,7,6,7.828236253,11.8698905,34
8,2,6,7,5.295215124,11.91162848,60
8,2,6,7,5.295215124,11.69899318,95
1,1,5,3,10.55764333,10.16525454,45
1,1,5,3,7.802047361,7.624256037,43
1,2,3,5,10.54848805,7.209738136,55
1,2,3,5,7.993587109,9.328499385,48
0,1,2,1,8.090668868,7.830846577,36
0,1,2,1,8.146590003,7.518919934,47
0,2,1,2,7.779636384,4.950204155,45
0,2,1,2,7.900649902,7.322508728,66
3,1,0,7,13.14876362,12.52856018,40
3,1,0,7,5.150157529,12.34038916,34
3,2,7,0,13.50930191,7.747710157,38
3,2,7,0,5.413440594,9.542762792,52
2,1,5,1,8.170253499,7.830846577,58
2,1,5,1,5.454250155,10.2286138,55
2,2,1,5,13.21631802,7.202105348,55
2,2,1,5,5.415971078,11.98189345,53
5,1,4,0,7.864157183,9.983238603,45
5,1,4,0,10.65581487,12.22837148,66
5,2,0,4,10.48938838,7.517274433,51
5,2,0,4,5.36248059,10.29346641,50
6,1,6,3,7.955131324,7.619947424,50
6,1,6,3,10.41708515,9.855914159,40
6,2,3,6,5.13831849,9.274394281,41
6,2,3,6,10.81705792,11.13239647,64
7,1,2,5,7.81288524,9.753555346,47
7,1,2,5,7.972131943,9.261852989,57
7,2,5,2,5.440279213,7.467971518,64
7,2,5,2,8.167006422,7.602403708,55
1,1,3,0,8.030846629,7.747710157,49
1,1,3,0,10.69967233,9.570280547,53
1,2,0,3,15.68510803,5.159049581,31
1,2,0,3,8.00342253,7.177918915,32
0,1,1,6,7.840052306,9.464653715,46
0,1,1,6,7.961065824,11.72962648,47
0,2,6,1,10.68348511,7.830846577,33
0,2,6,1,5.319418389,7.747108861,58
5,1,2,4,15.9536074,10.09476623,38
5,1,2,4,8.121457788,7.708005683,38
